Model,km,kcat,kd,e0,Si,Xopt,nlotes,V0,Mcat,e0_st0,e0_st1,e0_st2,e0_st3,e0_st4,e0_st5,e0_st6,t_reaccion0,t_reaccion1,t_reaccion2,t_reaccion3,t_reaccion4,t_reaccion5,t_reaccion6,producto0,producto1,producto2,producto3,producto4,producto5,producto6,productivity_specif0,productivity_specif1,productivity_specif2,productivity_specif3,productivity_specif4,productivity_specif5,productivity_specif6,Productividad_especifica_global
3992,96.93625941945567,1.2865776038790666,1.630923222114689,55.593308598097344,190.71731380720755,0.9,6,0.9767792646062797,0.9763749870178818,55.593308598097344,6.881125528537646e-14,0.0,0.0,0.0,0.0,0.0,0.0,21.04665103096582,0.0,0.0,0.0,0.0,0.0,0.0,171.71665395437842,171.71665395437842,171.71665395437842,171.71665395437842,171.71665395437842,171.71665395437842,0.0,8.158858799042786,0.0,0.0,0.0,0.0,0.0,48.95315279425672
3993,94.57791516395352,0.7727046704767802,0.08683087307337793,63.9016590347408,190.02855541741368,0.9,6,1.0050579560353976,0.9225255933354319,63.9016590347408,20.211239626628657,1.3897354036905577e-14,1.8089379485134012e-16,0.0,0.0,0.0,0.0,13.256879914524403,402.08413852146407,50.0,0.0,0.0,0.0,0.0,186.32625651618838,372.65251303237676,558.9787695485652,558.9787695485652,558.9787695485652,558.9787695485652,0.0,14.055061048870709,0.8972205886036494,1.20122393557158,0.0,0.0,0.0,6.0061196778579
3994,93.19299035959548,0.781487163658315,0.0019053416497463137,57.46890774170415,178.4667437432894,0.9,6,1.0083437939864623,0.9972743877450634,57.46890774170415,56.554121831327784,55.63933592095142,54.72455001057506,53.80976410019869,52.894978189822325,51.980192279445966,0.0,8.421575447541533,8.558914601633814,8.700807579293105,8.847484694333836,8.999192058391325,9.156192959106168,0.0,162.4028974654354,324.8057949308708,487.20869239630616,649.6115898617415,812.014487327177,974.4173847926124,0.0,19.284146829420713,19.12817557033019,18.971342470491887,18.813625797419096,18.655002877368222,18.49545003717369,64.73407513010791
3995,80.02219524213066,0.8768587215243598,1.4010820050775805,53.466026505665056,166.0750408114099,0.9,6,0.9751976681393563,1.028297207166889,53.466026505665056,3.6993932412177735e-14,0.0,0.0,0.0,0.0,0.0,0.0,24.914365320285345,0.0,0.0,0.0,0.0,0.0,0.0,141.74928441504116,141.74928441504116,141.74928441504116,141.74928441504116,141.74928441504116,141.74928441504116,0.0,5.689459979926862,0.0,0.0,0.0,0.0,0.0,34.136759879561176
3996,76.62628384168546,0.9037855271045488,0.014569879152056065,57.923854392999296,186.4085916010481,0.9,6,0.9266695170442494,1.0843154875861123,57.923854392999296,52.37492311838303,46.82599184376677,41.27706056915053,35.72812929453427,30.179198019918008,24.630266745301746,0.0,6.911614112812205,7.686369882147378,8.657005128314971,9.908702470352457,11.58454592728349,13.944991270337507,0.0,143.3763931037749,286.7527862075498,430.12917931132466,573.5055724150996,716.8819655188745,860.2583586226494,0.0,20.744270551504755,19.6433141936969,18.496210728425307,17.293176508893502,16.020339687878906,14.656858658812206,51.29900530584272
3997,98.33479942666803,1.030884856898973,1.7296046122412156,45.992726851606164,190.45537680829278,0.9,6,0.9823013141342388,1.0232132281906257,45.992726851606164,1.3116790787907778e-15,0.0,0.0,0.0,0.0,0.0,0.0,22.025815230448217,0.0,0.0,0.0,0.0,0.0,0.0,164.55622893792108,164.55622893792108,164.55622893792108,164.55622893792108,164.55622893792108,164.55622893792108,0.0,7.471061897878839,0.0,0.0,0.0,0.0,0.0,44.826371387273035
3998,102.71167709062865,1.1552143872741456,1.9696241813757729,51.10255232561204,202.27739911405095,0.9,6,1.0624162715057563,0.9369201847778641,51.10255232561204,3.520462763221529e-14,0.0,0.0,0.0,0.0,0.0,0.0,17.7249211437706,0.0,0.0,0.0,0.0,0.0,0.0,206.4343615404391,206.4343615404391,206.4343615404391,206.4343615404391,206.4343615404391,206.4343615404391,0.0,11.646560222525457,0.0,0.0,0.0,0.0,0.0,69.87936133515274
3999,111.96109484099918,0.8017484989480198,1.5938823922098861,46.5986298477243,198.77106367430667,0.9,6,1.030449675206842,1.0684141095493787,46.5986298477243,3.0634830093662273e-15,0.0,0.0,0.0,0.0,0.0,0.0,23.37738041921788,0.0,0.0,0.0,0.0,0.0,0.0,172.53723865654115,172.53723865654115,172.53723865654115,172.53723865654115,172.53723865654115,172.53723865654115,0.0,7.380520638433175,0.0,0.0,0.0,0.0,0.0,44.28312383059905
4000,93.24457812080425,0.8005725498887643,1.7879806336478201,52.390419651497574,198.02297309454391,0.9,6,1.0340132579771069,0.9209620895065654,52.390419651497574,3.411858707618471e-17,0.0,0.0,0.0,0.0,0.0,0.0,23.42050708941651,0.0,0.0,0.0,0.0,0.0,0.0,200.0978582149427,200.0978582149427,200.0978582149427,200.0978582149427,200.0978582149427,200.0978582149427,0.0,8.54370306547995,0.0,0.0,0.0,0.0,0.0,51.262218392879696
4001,106.47398460171935,0.9478174820503926,2.0321578732641976,72.44399470873975,209.53852466989804,0.9,6,0.9143527883815856,0.9140007151551515,72.44399470873975,7.531257950043837e-14,0.0,0.0,0.0,0.0,0.0,0.0,16.97699939855828,0.0,0.0,0.0,0.0,0.0,0.0,188.65731504978743,188.65731504978743,188.65731504978743,188.65731504978743,188.65731504978743,188.65731504978743,0.0,11.11252410516128,0.0,0.0,0.0,0.0,0.0,66.67514463096768
