Model,km,kcat,kd,e0,Si,Xopt,nlotes,V0,Mcat,e0_st0,e0_st1,e0_st2,e0_st3,e0_st4,e0_st5,e0_st6,e0_st7,t_reaccion0,t_reaccion1,t_reaccion2,t_reaccion3,t_reaccion4,t_reaccion5,t_reaccion6,t_reaccion7,producto0,producto1,producto2,producto3,producto4,producto5,producto6,producto7,productivity_specif0,productivity_specif1,productivity_specif2,productivity_specif3,productivity_specif4,productivity_specif5,productivity_specif6,productivity_specif7,Productividad_especifica_global
2905,92.27440114082275,0.8496812832185852,1.6197956454544813,64.0509545135541,158.93821384966066,0.9,7,0.9206699238243173,0.9509939721478949,64.0509545135541,5.2815504666089385e-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.86352338710741,0.0,0.0,0.0,0.0,0.0,0.0,0.0,138.4831805153494,138.4831805153494,138.4831805153494,138.4831805153494,138.4831805153494,138.4831805153494,138.4831805153494,0.0,6.056948361399064,0.0,0.0,0.0,0.0,0.0,0.0,42.39863852979345
2906,94.4496416380184,0.7563003266228826,1.6917470329128006,51.86218224983211,198.78727409577579,0.9,7,1.0546598512168308,1.0663124640051909,51.86218224983211,2.7540962774083453e-21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.3176458744028,0.0,0.0,0.0,0.0,0.0,0.0,0.0,176.95344244664733,176.95344244664733,176.95344244664733,176.95344244664733,176.95344244664733,176.95344244664733,176.95344244664733,0.0,5.836648504297267,0.0,0.0,0.0,0.0,0.0,0.0,40.85653953008088
2907,107.03704651462697,1.163285017601289,0.7714848843309595,74.28441455257875,171.62572499093613,0.9,7,0.9865288978768593,1.0924063719223096,74.28441455257875,9.75861866213477e-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.47711231275623,0.0,0.0,0.0,0.0,0.0,0.0,0.0,139.49237894156104,139.49237894156104,139.49237894156104,139.49237894156104,139.49237894156104,139.49237894156104,139.49237894156104,0.0,4.295097963089895,0.0,0.0,0.0,0.0,0.0,0.0,30.065685741629263
2908,90.07335701834418,0.851847360223692,0.09817682888619027,67.54153613952894,199.8535798144912,0.9,7,0.9885089200656826,1.0585690504586098,67.54153613952894,22.908046881791208,1.6249935979018287e-11,8.852912070169954e-16,0.0,0.0,0.0,0.0,0.0,11.013337159651769,284.9391318230139,100.0,0.0,0.0,0.0,0.0,0.0,167.9638580414619,335.9277160829238,503.89157412438567,503.89157412438567,503.89157412438567,503.89157412438567,503.89157412438567,0.0,15.250950334727857,1.135073200225944,1.2726062181631337,0.0,0.0,0.0,0.0,7.635637308978802
2909,111.62319223029033,0.8847592724808081,1.2609083514997617,57.44147880421405,183.22485801944435,0.9,7,0.9589628218033233,1.091459289150475,57.44147880421405,7.037411013874549e-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.057070382727115,0.0,0.0,0.0,0.0,0.0,0.0,0.0,144.88423503806396,144.88423503806396,144.88423503806396,144.88423503806396,144.88423503806396,144.88423503806396,144.88423503806396,0.0,4.986195549988754,0.0,0.0,0.0,0.0,0.0,0.0,34.90336884992127
2910,85.21698836572529,1.0825808065598652,0.6216346696965868,68.38981066990165,178.5067992458152,0.9,7,1.0432081950185603,1.0837000101597352,68.38981066990165,1.482922076977943e-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.61209095755433,0.0,0.0,0.0,0.0,0.0,0.0,0.0,154.65329766960792,154.65329766960792,154.65329766960792,154.65329766960792,154.65329766960792,154.65329766960792,154.65329766960792,0.0,3.055659126972395,0.0,0.0,0.0,0.0,0.0,0.0,21.389613888806764
2911,106.19010013135392,0.7480245377378987,0.7726593779933105,65.0440855243483,184.6423936653082,0.9,7,1.0399648492429736,0.9643741355699381,65.0440855243483,8.766529229901407e-14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44.31489034207991,0.0,0.0,0.0,0.0,0.0,0.0,0.0,179.2037268613271,179.2037268613271,179.2037268613271,179.2037268613271,179.2037268613271,179.2037268613271,179.2037268613271,0.0,4.0438716078952215,0.0,0.0,0.0,0.0,0.0,0.0,28.30710125526655
2912,86.39030443017329,1.0153738794863245,1.9548785473893135,53.711201255796176,226.0523437352539,0.9,7,0.920012124581502,0.9509175407258278,53.711201255796176,1.1765302619639879e-14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.444748533583198,0.0,0.0,0.0,0.0,0.0,0.0,0.0,196.83495077920298,196.83495077920298,196.83495077920298,196.83495077920298,196.83495077920298,196.83495077920298,196.83495077920298,0.0,10.671598499747317,0.0,0.0,0.0,0.0,0.0,0.0,74.70118949823122
2913,99.80273859324268,1.2675498665609117,0.3171925153704502,63.557520318602585,152.80517937257588,0.9,7,1.0117257607516223,0.9861164391736749,63.557520318602585,2.659932725012723e-13,9.571867417174167e-17,0.0,0.0,0.0,0.0,0.0,0.0,104.37588877783256,25.0,0.0,0.0,0.0,0.0,0.0,0.0,141.09615983011903,282.19231966023807,282.19231966023807,282.19231966023807,282.19231966023807,282.19231966023807,282.19231966023807,0.0,1.3518079844133999,2.1811816894632168,0.0,0.0,0.0,0.0,0.0,14.177680981510912
2914,93.96119388158606,0.8564228661973672,0.4450922105132327,59.24906021107806,194.46160433849283,0.9,7,1.0676494593117651,0.960222920451091,59.24906021107806,2.9694988243791776e-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,63.63129275206762,0.0,0.0,0.0,0.0,0.0,0.0,0.0,194.59558824967533,194.59558824967533,194.59558824967533,194.59558824967533,194.59558824967533,194.59558824967533,194.59558824967533,0.0,3.0581743641119434,0.0,0.0,0.0,0.0,0.0,0.0,21.407220548783606
2915,90.52643842873874,1.045624975684146,1.1329209460251457,45.563676999234225,188.0184846596635,0.9,7,0.9187631145043726,0.9552875212409976,45.563676999234225,6.150842793450906e-14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.221625923762996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,162.7468173072188,162.7468173072188,162.7468173072188,162.7468173072188,162.7468173072188,162.7468173072188,162.7468173072188,0.0,5.3851112351719115,0.0,0.0,0.0,0.0,0.0,0.0,37.69577864620339
