Model,km,kcat,kd,e0,Si,Xopt,nlotes,V0,Mcat,e0_st0,e0_st1,e0_st2,e0_st3,e0_st4,e0_st5,e0_st6,e0_st7,e0_st8,e0_st9,e0_st10,t_reaccion0,t_reaccion1,t_reaccion2,t_reaccion3,t_reaccion4,t_reaccion5,t_reaccion6,t_reaccion7,t_reaccion8,t_reaccion9,t_reaccion10,producto0,producto1,producto2,producto3,producto4,producto5,producto6,producto7,producto8,producto9,producto10,productivity_specif0,productivity_specif1,productivity_specif2,productivity_specif3,productivity_specif4,productivity_specif5,productivity_specif6,productivity_specif7,productivity_specif8,productivity_specif9,productivity_specif10,Productividad_especifica_global
2103,89.12769160503854,1.2494555926681556,1.0765376321025082,52.40155749170976,165.0550519926617,0.9,10,1.0518144956855053,1.0876082568723129,52.40155749170976,1.561295250039018e-13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.069073444613295,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,143.66070288408017,143.66070288408017,143.66070288408017,143.66070288408017,143.66070288408017,143.66070288408017,143.66070288408017,143.66070288408017,143.66070288408017,143.66070288408017,0.0,4.6239133310551885,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46.239133310551885
2104,91.17580803097061,1.2327924143582778,1.1691491016922084,47.889821009204184,193.712716311321,0.9,10,0.9669487989730435,0.9831062857760955,47.889821009204184,2.88583826432766e-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.03612202358334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,171.47611909698261,171.47611909698261,171.47611909698261,171.47611909698261,171.47611909698261,171.47611909698261,171.47611909698261,171.47611909698261,171.47611909698261,171.47611909698261,0.0,6.586085245016932,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,65.8608524501693
2105,81.84754975517497,1.1801770834149694,0.4674400924403223,69.44487088779954,157.6911860470602,0.9,10,1.0302336317683118,1.0983965196008774,69.44487088779954,3.341809602366095e-13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,70.52802593930696,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,133.11484910962116,133.11484910962116,133.11484910962116,133.11484910962116,133.11484910962116,133.11484910962116,133.11484910962116,133.11484910962116,133.11484910962116,133.11484910962116,0.0,1.8874035865426522,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.874035865426528
2106,103.28133075395627,0.9988844697872781,0.9339612801730585,67.36967226694547,200.39048748687026,0.9,10,1.0263521191017861,0.960763563936844,67.36967226694547,2.1664930422840514e-13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.73027288918688,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,192.66351085745188,192.66351085745188,192.66351085745188,192.66351085745188,192.66351085745188,192.66351085745188,192.66351085745188,192.66351085745188,192.66351085745188,192.66351085745188,0.0,5.392164550631183,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53.921645506311826
2107,95.6346113106235,1.2564893870180456,0.994716815005922,68.34155661576204,179.718905291236,0.9,10,1.0065373369169106,0.9620990346687437,68.34155661576204,6.106479341183265e-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.576142049232832,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,169.21793248547573,169.21793248547573,169.21793248547573,169.21793248547573,169.21793248547573,169.21793248547573,169.21793248547573,169.21793248547573,169.21793248547573,169.21793248547573,0.0,6.6162415019333025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,66.16241501933304
2108,88.44839652071832,0.7692623780512406,0.11486432688735088,60.68981991447899,175.88934710328908,0.9,10,1.0156520655947046,1.0083049538871793,60.68981991447899,6.642805990661762,2.243377091593105e-13,4.0694107745411856e-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.25960452050263,270.0504077459346,75.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,159.45388368030694,318.9077673606139,478.36165104092083,478.36165104092083,478.36165104092083,478.36165104092083,478.36165104092083,478.36165104092083,478.36165104092083,478.36165104092083,0.0,8.279187846799337,1.102304634610844,1.3130620486243243,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.817558437618922
2109,84.2342805497351,0.845913719932768,0.17845946224685091,47.38954758810566,174.8600282154786,0.9,10,1.0671177537927239,1.0326181249321138,47.38954758810566,1.168984317076476e-14,1.2560565383387818e-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,201.38163183998134,12.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,162.63186983545432,325.26373967090865,325.26373967090865,325.26373967090865,325.26373967090865,325.26373967090865,325.26373967090865,325.26373967090865,325.26373967090865,325.26373967090865,0.0,0.8075804548285828,1.520765186204767,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.44726926894529
2110,94.4050503752244,1.2996342596912407,1.272071836181383,76.47855069586379,168.07911221375232,0.9,10,1.0310904891084012,1.0287315579716034,76.47855069586379,1.2638291197686328e-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.32640184323695,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,151.6180731606863,151.6180731606863,151.6180731606863,151.6180731606863,151.6180731606863,151.6180731606863,151.6180731606863,151.6180731606863,151.6180731606863,151.6180731606863,0.0,7.109407122456879,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,71.09407122456878
2111,99.27647280686521,0.7535445482592597,0.02853437847888604,54.67062946400052,219.56961144621542,0.9,10,1.0323293325353613,1.0001611007303104,54.67062946400052,38.531570600254526,22.39251173650853,6.253452872762534,7.901189358099196e-15,1.8970392396652286e-15,0.0,0.0,0.0,0.0,0.0,0.0,12.260603682927092,19.020961531138187,44.70371890514598,1202.2303864559678,50.0,0.0,0.0,0.0,0.0,0.0,0.0,203.9684759159578,407.9369518319156,611.9054277478734,815.8739036638312,1019.842379579789,1019.842379579789,1019.842379579789,1019.842379579789,1019.842379579789,1019.842379579789,0.0,16.636087519897913,13.040810107816887,8.0529464993231,0.6382912699675317,0.7678289017160519,0.0,0.0,0.0,0.0,0.0,6.142631213728415
2112,110.58152944376837,1.087234871672598,0.6032070769678439,64.17238163187771,160.10040595780947,0.9,10,0.9220714822605685,0.9933905677530555,64.17238163187771,2.8613347107304692e-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47.14586720920388,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,133.74559924537178,133.74559924537178,133.74559924537178,133.74559924537178,133.74559924537178,133.74559924537178,133.74559924537178,133.74559924537178,133.74559924537178,133.74559924537178,0.0,2.8368467304226783,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.36846730422678
