Model,km,kcat,kd,e0,Si,Xopt,nlotes,V0,Mcat,e0_st0,e0_st1,e0_st2,e0_st3,e0_st4,e0_st5,t_reaccion0,t_reaccion1,t_reaccion2,t_reaccion3,t_reaccion4,t_reaccion5,producto0,producto1,producto2,producto3,producto4,producto5,productivity_specif0,productivity_specif1,productivity_specif2,productivity_specif3,productivity_specif4,productivity_specif5,Productividad_especifica_global
4831,114.14276236952867,0.7702248808310097,1.7834292397036522,59.12382248225386,186.1344084993513,0.9,5,0.907962900262068,1.0771404191808929,59.12382248225386,2.973223960955745e-17,0.0,0.0,0.0,0.0,0.0,23.62523429635199,0.0,0.0,0.0,0.0,0.0,141.20983757840781,141.20983757840781,141.20983757840781,141.20983757840781,141.20983757840781,0.0,5.977076705656724,0.0,0.0,0.0,0.0,29.885383528283622
4832,116.71756870401181,0.7793482379244794,1.4664299679823596,44.350922437050855,205.84603680927515,0.9,5,1.0141290454718288,1.0430984284371265,44.350922437050855,8.24804234759186e-16,0.0,0.0,0.0,0.0,0.0,26.27027540053071,0.0,0.0,0.0,0.0,0.0,180.1162720786505,180.1162720786505,180.1162720786505,180.1162720786505,180.1162720786505,0.0,6.856276507668884,0.0,0.0,0.0,0.0,34.28138253834442
4833,110.40870760930002,0.9251081231533713,1.1501099033334967,85.9298381861818,210.474966678035,0.9,5,0.9872756796661135,0.9563969653274496,85.9298381861818,1.991784304069346e-13,0.0,0.0,0.0,0.0,0.0,29.299901137514034,0.0,0.0,0.0,0.0,0.0,195.54342075704207,195.54342075704207,195.54342075704207,195.54342075704207,195.54342075704207,0.0,6.673859404483747,0.0,0.0,0.0,0.0,33.369297022418735
4834,96.43234896728275,1.2537318821761922,1.722155352516783,38.01533890816069,157.2007373322731,0.9,5,0.965231828535225,1.0134785529878152,38.01533890816069,1.7733575139542856e-14,0.0,0.0,0.0,0.0,0.0,20.498328640214226,0.0,0.0,0.0,0.0,0.0,134.745465728396,134.745465728396,134.745465728396,134.745465728396,134.745465728396,0.0,6.573485482326026,0.0,0.0,0.0,0.0,32.867427411630125
4835,89.30767202308219,1.0578657252388695,1.0141218402493097,69.65661744103488,180.2576674798925,0.9,5,0.9686921857900777,1.0325239405871962,69.65661744103488,1.5853822631919932e-11,0.0,0.0,0.0,0.0,0.0,28.705809321339043,0.0,0.0,0.0,0.0,0.0,152.20254789975476,152.20254789975476,152.20254789975476,152.20254789975476,152.20254789975476,0.0,5.302151428512832,0.0,0.0,0.0,0.0,26.51075714256416
4836,95.41373482630662,0.7638467985661006,0.10203943908332361,54.20616376022912,196.89519652473925,0.9,5,1.0953857626616357,0.9333251615585153,54.20616376022912,1.1852523961521675,4.427616002177333e-20,0.0,0.0,0.0,0.0,37.464326679908496,438.39712091206707,0.0,0.0,0.0,0.0,207.97529468140027,415.95058936280054,415.95058936280054,415.95058936280054,415.95058936280054,0.0,5.551288735503527,0.8741002059899057,0.0,0.0,0.0,3.9334509269545763
4837,89.72865638860354,0.8609336113534208,0.42718766193759794,67.06725312455765,172.46013619713958,0.9,5,0.9852803167859352,1.0750310646153773,67.06725312455765,5.825535330916208e-11,0.0,0.0,0.0,0.0,0.0,65.01096237976157,0.0,0.0,0.0,0.0,0.0,142.25581464239053,142.25581464239053,142.25581464239053,142.25581464239053,142.25581464239053,0.0,2.1881819532435642,0.0,0.0,0.0,0.0,10.940909766217821
4838,111.1208470088317,1.2454020397166246,0.7641326812990757,46.76568351334466,186.5066560040899,0.9,5,1.014088045395396,1.0101386040608165,46.76568351334466,6.131069790994948e-13,0.0,0.0,0.0,0.0,0.0,41.83224643430093,0.0,0.0,0.0,0.0,0.0,168.5122739909946,168.5122739909946,168.5122739909946,168.5122739909946,168.5122739909946,0.0,4.028286509921223,0.0,0.0,0.0,0.0,20.14143254960611
4839,97.65723126804866,1.2854009298112448,0.07825792108667437,62.92001109680497,182.67763008095454,0.9,5,1.026089115433225,0.9340634758154283,62.92001109680497,39.22019144422187,15.520371791639182,9.345983854486651e-15,1.8675655828592743e-16,0.0,0.0,6.03993239206121,11.845934814768057,447.8266565433775,50.0,0.0,0.0,180.60782745627793,361.21565491255586,541.8234823688338,722.4313098251117,722.4313098251117,0.0,29.902292895474453,20.19559078324336,1.1634290570623573,1.4008411208858527,0.0,4.9029439231004845
4840,113.34379432136001,1.1049660532074295,1.3723845307564881,58.93995022369322,150.23174864920168,0.9,5,0.9650848827851025,0.9695900096921278,58.93995022369322,8.849767837481997e-13,0.0,0.0,0.0,0.0,0.0,23.19301435038664,0.0,0.0,0.0,0.0,0.0,134.58033733616722,134.58033733616722,134.58033733616722,134.58033733616722,134.58033733616722,0.0,5.802623811765273,0.0,0.0,0.0,0.0,29.013119058826366
