Model,km,kcat,kd,e0,Si,Xopt,nlotes,V0,Mcat,e0_st0,e0_st1,e0_st2,e0_st3,e0_st4,e0_st5,e0_st6,e0_st7,e0_st8,t_reaccion0,t_reaccion1,t_reaccion2,t_reaccion3,t_reaccion4,t_reaccion5,t_reaccion6,t_reaccion7,t_reaccion8,producto0,producto1,producto2,producto3,producto4,producto5,producto6,producto7,producto8,productivity_specif0,productivity_specif1,productivity_specif2,productivity_specif3,productivity_specif4,productivity_specif5,productivity_specif6,productivity_specif7,productivity_specif8,Productividad_especifica_global
14,105.60713091718037,1.2894853970612665,0.9424714102320665,48.303760795825305,155.71971234490536,0.9,8,1.026862002698953,1.0626879827788602,48.303760795825305,1.5857129276111887e-13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.38577527651952,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,135.42299568877536,135.42299568877536,135.42299568877536,135.42299568877536,135.42299568877536,135.42299568877536,135.42299568877536,135.42299568877536,0.0,3.8270461684256567,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.616369347405254
15,87.8343018551793,1.0207149263481297,1.0863371958032557,45.57494198165863,207.58145370241982,0.9,8,0.9598317554569523,1.0767437182268953,45.57494198165863,4.1210606088597044e-14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.8864519448499,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,166.53818449207148,166.53818449207148,166.53818449207148,166.53818449207148,166.53818449207148,166.53818449207148,166.53818449207148,166.53818449207148,0.0,5.222850907969072,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41.78280726375257
16,92.9436422431464,0.7653971682421353,0.8126009732727025,69.14891397302992,185.23119259982175,0.9,8,1.0545533445280335,0.9336132145800323,69.14891397302992,1.7492654771764533e-13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41.36184141358869,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,188.30341468488515,188.30341468488515,188.30341468488515,188.30341468488515,188.30341468488515,188.30341468488515,188.30341468488515,188.30341468488515,0.0,4.552587801930439,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.420702415443515
17,100.48855961491202,0.8420398258733847,0.25641318786309636,68.06080573135276,165.35855123288195,0.9,8,1.0537516519792522,0.9173802258069704,68.06080573135276,2.0817691352747846e-12,3.423432355167091e-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,121.35961026342066,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,170.94565313912514,341.8913062782503,341.8913062782503,341.8913062782503,341.8913062782503,341.8913062782503,341.8913062782503,341.8913062782503,0.0,1.4085876904851131,2.3359675914885814,0.0,0.0,0.0,0.0,0.0,0.0,17.519756936164363
18,90.07953931654528,1.1303734434952661,0.6288706251986663,49.320857352206104,219.51332151733305,0.9,8,0.9714810217627733,0.9555924106217155,49.320857352206104,1.929692457556446e-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41.76826885727663,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,200.8468476277552,200.8468476277552,200.8468476277552,200.8468476277552,200.8468476277552,200.8468476277552,200.8468476277552,200.8468476277552,0.0,4.808598802934703,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.46879042347762
19,100.26900619270117,0.8615942647791204,1.1488883854804965,58.7543073928864,175.68534963575993,0.9,8,1.0972965476218632,0.9707998036570201,58.7543073928864,1.417541478216775e-13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.296184976914045,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,178.7196847456828,178.7196847456828,178.7196847456828,178.7196847456828,178.7196847456828,178.7196847456828,178.7196847456828,178.7196847456828,0.0,6.100442255075783,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48.80353804060626
20,106.2531174770307,1.2083544075734627,0.9719184770733318,49.15124700584421,192.9980977054963,0.9,8,0.9875748718732276,1.018123188043111,49.15124700584421,6.688368236958465e-14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.219747739620274,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,168.48655100534882,168.48655100534882,168.48655100534882,168.48655100534882,168.48655100534882,168.48655100534882,168.48655100534882,168.48655100534882,0.0,4.7838659223504525,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.27092737880362
21,101.12391961581542,1.0878004861308859,1.6919359852993745,56.64721239367459,162.78881971964654,0.9,8,1.0976464132736634,0.9985531534221644,56.64721239367459,8.32618008063011e-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.547041207915424,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,161.0491210473415,161.0491210473415,161.0491210473415,161.0491210473415,161.0491210473415,161.0491210473415,161.0491210473415,161.0491210473415,0.0,7.474303292657147,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59.79442634125718
22,68.72071981322422,0.7497809376515293,0.07578395189629905,68.8076204108768,196.54496744040713,0.9,8,1.0151843175898172,1.0424751565795722,68.8076204108768,34.934852525124874,1.0620846393730479,2.7794437576960307e-16,0.0,0.0,0.0,0.0,0.0,0.0,8.944235725939759,46.094869236069435,473.4425084378529,0.0,0.0,0.0,0.0,0.0,0.0,172.2596751094137,344.5193502188274,516.7790253282411,516.7790253282411,516.7790253282411,516.7790253282411,516.7790253282411,516.7790253282411,0.0,19.259295079828032,6.259537658845149,0.9778562058264711,0.0,0.0,0.0,0.0,0.0,6.844993440785298
23,79.48085601982527,0.73239217829781,1.2767100543152483,51.000518236091516,177.95951881099788,0.9,8,0.9982377513582013,0.9244326857223752,51.000518236091516,6.141500020041734e-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.710937968977536,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,172.9507419749821,172.9507419749821,172.9507419749821,172.9507419749821,172.9507419749821,172.9507419749821,172.9507419749821,172.9507419749821,0.0,6.023862479235515,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48.19089983388412
24,86.98231658358601,0.8973220281135306,2.0014797791644363,66.5559408775932,141.95699758376662,0.9,8,0.9147297866036814,1.0623176175502302,66.5559408775932,1.2947481179061398e-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.22502711895033,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,110.01141538585324,110.01141538585324,110.01141538585324,110.01141538585324,110.01141538585324,110.01141538585324,110.01141538585324,110.01141538585324,0.0,5.722302221223591,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.77841776978874
