Model,K,k,kd,e0,Si,Xopt,nlotes,beta,kr,V,Mbiocat,e0_activity0,e0_activity1,e0_activity2,e0_activity3,e0_activity4,e0_activity5,e0_activity6,e0_activity7,e0_activity8,e0_activity9,Gamma0,Gamma1,Gamma2,Gamma3,Gamma4,Gamma5,Gamma6,Gamma7,Gamma8,Gamma9,et_activity0,et_activity1,et_activity2,et_activity3,et_activity4,et_activity5,et_activity6,et_activity7,et_activity8,et_activity9,t_reaccion0,t_reaccion1,t_reaccion2,t_reaccion3,t_reaccion4,t_reaccion5,t_reaccion6,t_reaccion7,t_reaccion8,t_reaccion9,t_reactivacion0,t_reactivacion1,t_reactivacion2,t_reactivacion3,t_reactivacion4,t_reactivacion5,t_reactivacion6,t_reactivacion7,t_reactivacion8,t_reactivacion9,producto0,producto1,producto2,producto3,producto4,producto5,producto6,producto7,producto8,producto9,productivity_specif0,productivity_specif1,productivity_specif2,productivity_specif3,productivity_specif4,productivity_specif5,productivity_specif6,productivity_specif7,productivity_specif8,productivity_specif9,Productividad_especifica_global
20,10.0,1.0,1.292806394124305,18.0,200.0,0.9,9,0.9048959849315684,0.2642252488474325,1.0,1.0,18.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.4722042456259394e-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,2.649967642126691e-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.198035598434963,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,180.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.38342339031554,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.38342339031554
21,10.0,1.0,1.238700038782094,18.0,200.0,0.9,9,0.8726796458814147,0.3605398766914968,1.0,1.0,18.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,6.769679188270831e-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,1.2185422538887495e-14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.198035598434963,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,180.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.38342339031554,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.38342339031554
22,10.0,1.0,0.915712964110492,18.0,200.0,0.9,9,0.9233423619148875,0.3427571078493422,1.0,1.0,18.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.9967722941954385e-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,3.594190129551789e-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.47724983780894,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,180.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.559588135939673,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.559588135939673
23,10.0,1.0,1.1279937977367347,18.0,200.0,0.9,9,0.9046036592060805,0.24015558402456008,1.0,1.0,18.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.4134399820999157e-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,2.5441919677798483e-14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.312888268317582,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,180.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.938068270060968,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.938068270060968
24,10.0,1.0,0.7432197645943714,18.0,200.0,0.9,9,0.9383670784103687,0.1558832380018036,1.0,1.0,18.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.3181797375156702e-14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,2.3727235275282063e-13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43.00200428761331,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,180.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.185851403485601,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.185851403485601
25,10.0,1.0,0.5800928149006791,18.0,200.0,0.9,9,0.8789139193764616,0.134130516542376,1.0,1.0,18.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.2069215214408073e-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,2.1724587385934533e-14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59.21587475671342,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,180.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0397254239597813,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0397254239597813
26,10.0,1.0,1.0948592564033677,18.0,200.0,0.9,9,0.9394461178408382,0.2360950250665958,1.0,1.0,18.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.7835541354360863e-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,3.2103974437849553e-14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.017839158278456,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,180.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.803112173014128,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.803112173014128
27,10.0,1.0,0.7900143677496386,18.0,200.0,0.9,9,0.8842331506290695,0.3440418978302595,1.0,1.0,18.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.7622213883285037e-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,3.171998498991307e-14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43.00200428761331,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,180.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.185851403485601,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.185851403485601
28,10.0,1.0,0.7207512018543577,18.0,200.0,0.9,9,0.8860936515777521,0.16261360943759784,1.0,1.0,18.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.4640728790760116e-14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,6.23533118233682e-13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43.00200428761331,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,180.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.185851403485601,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.185851403485601
29,10.0,1.0,0.3238594705168818,18.0,200.0,0.9,9,0.9319054652178926,0.29225349397748995,1.0,1.0,18.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,7.852709693030489e-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,1.413487744745488e-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,78.95449967561788,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,180.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2797940679698363,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2797940679698363
